
('cs-vn-1001', '65 Lê Lợi, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Vincom Center', 10.7778, 106.7022),
('cs-vn-1002', '92 Nguyễn Huệ, Phường Bến Nghé', 'Quận 1', 1, 'cpo-eboost', 'Trạm sạc Sunwah Tower', 10.7745, 106.7041),
('cs-vn-1003', '72 Lê Thánh Tôn, Phường Bến Nghé', 'Quận 1', 1, 'cpo-eboost', 'Trạm sạc Vincom Đồng Khởi', 10.7781, 106.7018),
('cs-vn-1004', '2 Hải Triều, Phường Bến Nghé', 'Quận 1', 0, 'cpo-datbike', 'Trạm sạc Bitexco', 10.7715, 106.7049),
('cs-vn-1005', '39 Lê Duẩn, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc mPlaza', 10.7820, 106.7003),
('cs-vn-1006', '17 Tôn Đức Thắng, Phường Bến Nghé', 'Quận 1', 1, 'cpo-datbike', 'Trạm sạc Green Power', 10.7844, 106.7051),
('cs-vn-1007', '88 Đồng Khởi, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Sheraton', 10.7758, 106.7039),
('cs-vn-1008', '111A Pasteur, Phường Bến Nghé', 'Quận 1', 1, 'cpo-eboost', 'Trạm sạc Liberty', 10.7739, 106.7005),
('cs-vn-1009', '2 Nguyễn Bỉnh Khiêm, Phường Đa Kao', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Thảo Cầm Viên', 10.7865, 106.7047),
('cs-vn-1010', '29A Nguyễn Đình Chiểu, Phường Đa Kao', 'Quận 1', 0, 'cpo-eboost', 'Trạm sạc Lim Tower 3', 10.7884, 106.6981),
('cs-vn-1011', '15 Lê Duẩn, Phường Bến Nghé', 'Quận 1', 1, 'cpo-datbike', 'Trạm sạc PetroVietnam', 10.7834, 106.7021),
('cs-vn-1012', '3A Tôn Đức Thắng, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Le Meridien', 10.7814, 106.7061),
('cs-vn-1013', '9-11 Tôn Đức Thắng, Phường Bến Nghé', 'Quận 1', 1, 'cpo-datbike', 'Trạm sạc Lim Tower 1', 10.7794, 106.7061),
('cs-vn-1014', '28 Phùng Khắc Khoan, Phường Đa Kao', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Somerset', 10.7854, 106.6981),
('cs-vn-1015', '34 Tôn Đức Thắng, Phường Bến Nghé', 'Quận 1', 0, 'cpo-eboost', 'Trạm sạc Sài Gòn Trade', 10.7861, 106.7055),
('cs-vn-1016', '22A Hai Bà Trưng, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Bến Cảng', 10.7788, 106.7066),
('cs-vn-1017', '45 Lý Tự Trọng, Phường Bến Nghé', 'Quận 1', 1, 'cpo-eboost', 'Trạm sạc Bến Thành', 10.7761, 106.6995),

-- KHU VỰC QUẬN 3 
('cs-vn-1018', '117 Nguyễn Đình Chiểu, Phường 6', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc RomeA', 10.7801, 106.6912),
('cs-vn-1019', '3 Võ Văn Tần, Phường 6', 'Quận 3', 1, 'cpo-eboost', 'Trạm sạc The Landmark', 10.7812, 106.6934),
('cs-vn-1020', '112 Lý Chính Thắng, Phường 8', 'Quận 3', 1, 'cpo-datbike', 'Trạm sạc An Phú Plaza', 10.7901, 106.6854),
('cs-vn-1021', '89B Nguyễn Đình Chiểu, Phường 6', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc Lim Tower 2', 10.7834, 106.6921),
('cs-vn-1022', '201 Điện Biên Phủ, Phường Võ Thị Sáu', 'Quận 3', 1, 'cpo-datbike', 'Trạm sạc E-Town Central', 10.7865, 106.6881),
('cs-vn-1023', '14 Kỳ Đồng, Phường 9', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc Kỳ Đồng', 10.7878, 106.6845),
('cs-vn-1024', '60 Võ Văn Tần, Phường 6', 'Quận 3', 1, 'cpo-eboost', 'Trạm sạc Báo Sài Gòn', 10.7789, 106.6911),
('cs-vn-1025', '280 Nam Kỳ Khởi Nghĩa, Phường 8', 'Quận 3', 0, 'cpo-eboost', 'Trạm sạc Sacombank', 10.7915, 106.6868),
('cs-vn-1026', '167 Hai Bà Trưng, Phường Võ Thị Sáu', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc Novaland', 10.7842, 106.6955),
('cs-vn-1027', '258 Nguyễn Đình Chiểu, Phường 6', 'Quận 3', 1, 'cpo-datbike', 'Trạm sạc Co-op Mart', 10.7765, 106.6885),
('cs-vn-1028', '134 Lê Quý Đôn, Phường Võ Thị Sáu', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc Lê Quý Đôn', 10.7825, 106.6905),
('cs-vn-1029', '40 Bà Huyện Thanh Quan, Phường 6', 'Quận 3', 0, 'cpo-vgreen', 'Trạm sạc Thanh Quan', 10.7811, 106.6872),
('cs-vn-1030', '120 Cách Mạng Tháng 8, Phường 7', 'Quận 3', 1, 'cpo-datbike', 'Trạm sạc CMT8', 10.7758, 106.6851),
('cs-vn-1031', '215 Điện Biên Phủ, Phường Võ Thị Sáu', 'Quận 3', 1, 'cpo-eboost', 'Trạm sạc ĐBP 215', 10.7858, 106.6871),
('cs-vn-1032', '35 Trương Định, Phường 6', 'Quận 3', 1, 'cpo-vgreen', 'Trạm sạc Trương Định', 10.7785, 106.6925),
('cs-vn-1033', '85 Pasteur, Phường 6', 'Quận 3', 1, 'cpo-eboost', 'Trạm sạc Viện Pasteur', 10.7852, 106.6948),

-- KHU VỰC BÌNH THẠNH 
('cs-vn-1034', '208 Nguyễn Hữu Cảnh, Phường 22', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Vinhomes Central Park', 10.7928, 106.7230),
('cs-vn-1035', '92 Nguyễn Hữu Cảnh, Phường 22', 'Bình Thạnh', 1, 'cpo-eboost', 'Trạm sạc Saigon Pearl', 10.7876, 106.7165),
('cs-vn-1036', '561A Điện Biên Phủ, Phường 25', 'Bình Thạnh', 1, 'cpo-eboost', 'Trạm sạc Pearl Plaza', 10.8001, 106.7178),
('cs-vn-1037', '125 Điện Biên Phủ, Phường 15', 'Bình Thạnh', 1, 'cpo-datbike', 'Trạm sạc Hồng Bàng', 10.7965, 106.7058),
('cs-vn-1038', '2A Phan Chu Trinh, Phường 12', 'Bình Thạnh', 0, 'cpo-vgreen', 'Trạm sạc Học Viện Cán Bộ', 10.8055, 106.7021),
('cs-vn-1039', '15 Hoàng Hoa Thám, Phường 6', 'Bình Thạnh', 1, 'cpo-datbike', 'Trạm sạc Hoàng Hoa Thám', 10.8012, 106.6925),
('cs-vn-1040', '290 Nơ Trang Long, Phường 12', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Nơ Trang Long', 10.8155, 106.6985),
('cs-vn-1041', '130 Xô Viết Nghệ Tĩnh, Phường 21', 'Bình Thạnh', 1, 'cpo-eboost', 'Trạm sạc Ngã Tư Hàng Xanh', 10.7985, 106.7115),
('cs-vn-1042', '236 Phan Đăng Lưu, Phường 3', 'Bình Thạnh', 1, 'cpo-eboost', 'Trạm sạc Phan Đăng Lưu', 10.8015, 106.6905),
('cs-vn-1043', '152 Điện Biên Phủ, Phường 25', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Khu C', 10.8010, 106.7155),
('cs-vn-1044', '42 Ung Văn Khiêm, Phường 25', 'Bình Thạnh', 0, 'cpo-datbike', 'Trạm sạc Ung Văn Khiêm', 10.8052, 106.7188),
('cs-vn-1045', '79 D2, Phường 25', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Đại Học Hutech', 10.8035, 106.7162),
('cs-vn-1046', '334 Phan Chu Trinh, Phường 12', 'Bình Thạnh', 1, 'cpo-datbike', 'Trạm sạc Vissan', 10.8085, 106.7055),
('cs-vn-1047', '20B Bạch Đằng, Phường 24', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Chợ Bà Chiểu', 10.8012, 106.7001),
('cs-vn-1048', '110 Đinh Tiên Hoàng, Phường 1', 'Bình Thạnh', 1, 'cpo-eboost', 'Trạm sạc Đinh Tiên Hoàng', 10.7955, 106.6985),
('cs-vn-1049', '45 Nguyễn Gia Trí, Phường 25', 'Bình Thạnh', 0, 'cpo-eboost', 'Trạm sạc Nguyễn Gia Trí', 10.8041, 106.7145),
('cs-vn-1050', '200 Nguyễn Xí, Phường 26', 'Bình Thạnh', 1, 'cpo-vgreen', 'Trạm sạc Vincom Nguyễn Xí', 10.8145, 106.7112),

-- KHU VỰC QUẬN 7
('cs-vn-1051', '1058 Nguyễn Văn Linh, Phường Tân Phong', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc SC VivoCity', 10.7300, 106.7023),
